id,hotel_code,name,michelin_keys,city,country,country_flag,address,latitude,longitude,google_place_id,michelin_url,website_url,booking_url,google_maps_url,worlds_50_best_rank,worlds_50_best_year
,hotel_340,La Minervetta,2,Sorrento,Italy,🇮🇹,"Via Capo 25, 80067 Sorrento NA",40.627262,14.364318,ChIJ95AU26WeOxMRbEItSaaRr_k,,,,https://www.google.com/maps/place/?q=place_id:ChIJ95AU26WeOxMRbEItSaaRr_k,,
,hotel_341,ADLER Sicilia,2,Siculiana,Italy,🇮🇹,"Contrada Salsa, 92010 Siculiana AG",37.376756,13.318879,ChIJ0yl7e89lGhMRVYdrw_ZO-JU,,,,https://www.google.com/maps/place/?q=place_id:ChIJ0yl7e89lGhMRVYdrw_ZO-JU,,
,hotel_342,"Villa Sant'Andrea, A Belmond Hotel",2,Taormina,Italy,🇮🇹,"Via Nazionale 137, 98039 Taormina ME",37.85411,15.302712,ChIJ47PDOZ0RFBMRnbIto0cV8kI,,,,https://www.google.com/maps/place/?q=place_id:ChIJ47PDOZ0RFBMRnbIto0cV8kI,,
,hotel_343,Le Sirenuse,2,Positano,Italy,🇮🇹,"Via Cristoforo Colombo 30, 84017 Positano SA",40.628834,14.487583,ChIJFUQrOm-XOxMREuopKSa5hgo,,,,https://www.google.com/maps/place/?q=place_id:ChIJFUQrOm-XOxMREuopKSa5hgo,,
,hotel_344,Capri Palace Jumeirah,2,Capri,Italy,🇮🇹,"Via Capodimonte 14, 80071 Anacapri NA",40.55573,14.221849,ChIJ-S_r1d55OxMRUx3283M6SL0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ-S_r1d55OxMRUx3283M6SL0,,
,hotel_345,"Castello di Casole, A Belmond Hotel, Tuscany",2,Casole d'Elsa,Italy,🇮🇹,"Località Querceto, 53031 Casole d'Elsa SI",43.324796,11.084068,ChIJHe4QbKYmKhMRQHTduLK-muM,,,,https://www.google.com/maps/place/?q=place_id:ChIJHe4QbKYmKhMRQHTduLK-muM,,
,hotel_346,Casa Maria Luigia,3,Modena,Italy,🇮🇹,"Stradello Bonaghino 56, 41126 Modena MO",44.61001,10.979721,ChIJ27T4xeXnf0cRvuiee2DnVig,,,,https://www.google.com/maps/place/?q=place_id:ChIJ27T4xeXnf0cRvuiee2DnVig,,
,hotel_347,Grand Hotel Miramare,1,Santa Margherita Ligure,Italy,🇮🇹,"Via Milite Ignoto 30, 16038 Santa Margherita Ligure GE",44.327856,9.214889,ChIJnWVZY4qf1BIR1QeXXCWUpPg,,,,https://www.google.com/maps/place/?q=place_id:ChIJnWVZY4qf1BIR1QeXXCWUpPg,,
,hotel_348,Bellevue Syrene 1820,2,Sorrento,Italy,🇮🇹,"Piazza della Vittoria 5, 80067 Sorrento NA",40.627492,14.370907,ChIJbdtcQ66eOxMR0HLY0FqYuQo,,,,https://www.google.com/maps/place/?q=place_id:ChIJbdtcQ66eOxMR0HLY0FqYuQo,,
,hotel_349,"Splendido, A Belmond Hotel, Portofino",2,Portofino,Italy,🇮🇹,"Viale Baratta 16, 16034 Portofino GE",44.306479,9.210302,ChIJAQAAAN2f1BIRHuxzwH05iXM,,,,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAN2f1BIRHuxzwH05iXM,,
,hotel_350,Palazzo Parigi Hotel & Grand Spa,1,Milan,Italy,🇮🇹,"Corso di Porta Nuova 1, 20121 Milano MI",45.473419,9.191082,ChIJI58xObTGhkcR5_47rs8K5nk,,,,https://www.google.com/maps/place/?q=place_id:ChIJI58xObTGhkcR5_47rs8K5nk,,
,hotel_351,Violino D'Oro,1,Venice,Italy,🇮🇹,"Piazza San Marco 2091, 30124 Venezia VE",45.432783,12.335481,ChIJk1sP1dCxfkcR11GEciUZYZ0,,,,https://www.google.com/maps/place/?q=place_id:ChIJk1sP1dCxfkcR11GEciUZYZ0,,
,hotel_352,San Luis Retreat Hotel & Lodges,1,Avelengo,Italy,🇮🇹,"Vöranerstraße 5, 39010 Hafling BZ",46.630836,11.219794,ChIJ6d0Jque8gkcRq1hsS5oJax0,,,,https://www.google.com/maps/place/?q=place_id:ChIJ6d0Jque8gkcRq1hsS5oJax0,,
,hotel_353,Masseria Torre Coccaro,1,Savelletri di Fasano,Italy,🇮🇹,"Contrada Coccaro 8, 72015 Savelletri di Fasano BR",40.863232,17.386847,ChIJx4z_EX1JRhMR5QdEQs7SkKY,,,,https://www.google.com/maps/place/?q=place_id:ChIJx4z_EX1JRhMR5QdEQs7SkKY,,
,hotel_354,Londra Palace Venezia,1,Venice,Italy,🇮🇹,"Riva degli Schiavoni 4171, 30122 Venezia VE",45.434078,12.343445,ChIJZ65jCyiufkcRBiVjy44xBUs,,,,https://www.google.com/maps/place/?q=place_id:ChIJZ65jCyiufkcRBiVjy44xBUs,,
,hotel_355,Palazzo Margherita,1,Bernalda,Italy,🇮🇹,"Corso Umberto I 64, 75012 Bernalda MT",40.40749,16.687201,ChIJo6QV26RnRxMRKwSvKYqHCaM,,,,https://www.google.com/maps/place/?q=place_id:ChIJo6QV26RnRxMRKwSvKYqHCaM,,
,hotel_356,Hotel Locarno,1,Rome,Italy,🇮🇹,"Via della Penna 22, 00186 Roma RM",41.909753,12.474716,ChIJ-8hcuGTxJRMRMXyB_Rdo7xQ,,,,https://www.google.com/maps/place/?q=place_id:ChIJ-8hcuGTxJRMRMXyB_Rdo7xQ,,
